"","Assay","time_contrast","estimate","SE","df","t.ratio","p","q"
"1960","LGALS4","week24 - week0",0.0224277056277037,0.245797726427516,82,0.0912445609390834,0.927520798730974,0.988452822005272
"1961","LGALS4","week52 - week0",-0.0215777056277061,0.245797726427516,82,-0.0877864329394812,0.930260452828131,0.989292669723712
"1962","LGALS4","week52 - week24",-0.0440054112554098,0.245797726427516,82,-0.179030993878565,0.858354984940005,0.970683670495244
"1963","SIRPB1","week24 - week0",-0.18859761904762,0.118708131548834,82,-1.58875063221794,0.115965245882774,0.817190982494432
"1964","SIRPB1","week52 - week0",-0.148449783549784,0.118708131548834,82,-1.25054435288382,0.214657487514407,0.84247293486837
"1965","SIRPB1","week52 - week24",0.0401478354978361,0.118708131548834,82,0.338206279334118,0.736072134935609,0.954091476599915
"1966","EDNRB","week24 - week0",-0.110697835497837,0.136924112798688,82,-0.808461221586221,0.42116448926132,0.87154806974561
"1967","EDNRB","week52 - week0",-0.0771465367965378,0.136924112798688,82,-0.563425500590697,0.574682709203199,0.989292669723712
"1968","EDNRB","week52 - week24",0.0335512987012989,0.136924112798688,82,0.245035720995524,0.807040952075882,0.961944236158492
"1969","PRR5","week24 - week0",-0.66659112554113,0.381322999705481,82,-1.74810102211505,0.0841894407322269,0.758744342401551
"1970","PRR5","week52 - week0",-0.456305627705629,0.381322999705481,82,-1.19663809436636,0.234895992052542,0.860602741638164
"1971","PRR5","week52 - week24",0.2102854978355,0.381322999705481,82,0.551462927748697,0.582816028630804,0.910484685798641
"1972","COL9A1","week24 - week0",-0.0157456709956705,0.228706568696517,82,-0.0688466058732416,0.945279329374204,0.994695336947633
"1973","COL9A1","week52 - week0",-0.292140476190477,0.228706568696517,82,-1.27735935987975,0.205080270502293,0.834043212901948
"1974","COL9A1","week52 - week24",-0.276394805194806,0.228706568696517,82,-1.20851275400651,0.230323599438783,0.821359378462206
"1975","SERPINB8","week24 - week0",-0.060147186147185,0.346094536995454,82,-0.17378831422576,0.8624601445309,0.976902147976808
"1976","SERPINB8","week52 - week0",0.366025324675326,0.346094536995454,82,1.05758769801135,0.293349140503443,0.902742473418827
"1977","SERPINB8","week52 - week24",0.426172510822511,0.346094536995454,82,1.23137601223711,0.221702186896865,0.821359378462206
"1978","IGFL4","week24 - week0",-0.265785930735933,0.295424483446503,82,-0.89967469058489,0.370927890560437,0.865582065676754
"1979","IGFL4","week52 - week0",-0.607312337662341,0.295424483446503,82,-2.05572784820428,0.0429904448184094,0.450796920162022
"1980","IGFL4","week52 - week24",-0.341526406926408,0.295424483446503,82,-1.15605315761939,0.251016565099102,0.821359378462206
"1981","PREB","week24 - week0",-0.00491060606060539,0.152547640609751,82,-0.0321906392060677,0.97439824649758,0.995622722354238
"1982","PREB","week52 - week0",0.0591725108225109,0.152547640609751,82,0.387895286914902,0.699098657766776,0.989292669723712
"1983","PREB","week52 - week24",0.0640831168831163,0.152547640609751,82,0.42008592612097,0.675521411473346,0.932194008271348
"1984","SHH","week24 - week0",0.0301961038961049,0.13385482082677,82,0.225588467487351,0.822082807896815,0.97244903805597
"1985","SHH","week52 - week0",0.0596720779220781,0.13385482082677,82,0.445797002704173,0.656918732612873,0.989292669723712
"1986","SHH","week52 - week24",0.0294759740259731,0.13385482082677,82,0.220208535216822,0.826256067309265,0.970330139680847
"1987","PNPT1","week24 - week0",-0.566984848484847,0.312155304509537,82,-1.81635500116104,0.0729702817513504,0.728787311252389
"1988","PNPT1","week52 - week0",-0.181998484848484,0.312155304509537,82,-0.583038257621292,0.56146760032826,0.989292669723712
"1989","PNPT1","week52 - week24",0.384986363636362,0.312155304509537,82,1.23331674353975,0.220981350738295,0.821359378462206
"1990","IL12RB1","week24 - week0",-0.0320500000000022,0.210304293776189,82,-0.152398219858082,0.879247222188817,0.977262642045504
"1991","IL12RB1","week52 - week0",0.276137662337661,0.210304293776189,82,1.3130386326374,0.192832603646363,0.825497707840298
"1992","IL12RB1","week52 - week24",0.308187662337664,0.210304293776189,82,1.46543685249548,0.146625795555899,0.821359378462206
"1993","CKAP4","week24 - week0",-0.458361255411257,0.24941635196648,82,-1.83773538421755,0.0697232009479243,0.728787311252389
"1994","CKAP4","week52 - week0",0.0509965367965361,0.24941635196648,82,0.204463486032342,0.838497961524189,0.989292669723712
